,num_epochs,train_acc,test_acc,train_bal_acc,test_bal_acc,train_f1_macro,test_f1_macro,train_f1_weighted,test_f1_weighted,overfit_gap
0,10,0.6958113054087027,0.6232765612327656,0.4742209608765195,0.3913071907333455,0.5039392431756309,0.3903549822559196,0.6675550228536123,0.5907979870718201,0.0725
1,15,0.7856852379015861,0.6447688564476886,0.6415237319854227,0.46721515999296753,0.673881476816352,0.4648916199476964,0.7532946407675029,0.6024217111585688,0.1409
2,20,0.9023993493289956,0.6532846715328468,0.8231004085518768,0.4864815668548043,0.8640074413884068,0.5007220267514736,0.8984240898874126,0.6330353910473687,0.2491
3,25,0.9699064660431069,0.656934306569343,0.9333888326962567,0.5050514301942035,0.9545846115910662,0.5243109263668505,0.9690742799656156,0.6364471698748082,0.313
4,30,0.9886132574217161,0.6508515815085159,0.9717413848929178,0.48173873703856135,0.9813925680681493,0.4970267221952597,0.9885026491878075,0.6325434236206747,0.3378
5,35,0.9947132980886539,0.5482562854825629,0.9985731018391473,0.43740790071440816,0.9959401195783045,0.4353554779251504,0.994721696577178,0.5363553376856639,0.4465
6,40,0.9987799918666125,0.6305758313057583,0.9990040460628695,0.491673735456419,0.9978910420479901,0.4975861893368424,0.9987850012465926,0.6167568146011898,0.3682
7,50,1.0,0.6196269261962692,1.0,0.4905691962577,1.0,0.502387610454206,1.0,0.6063001916824422,0.3804
8,60,1.0,0.592051905920519,1.0,0.46485888156243077,1.0,0.47083896195926594,1.0,0.5792279658206174,0.4079
