size,test_acc,test_bal_acc,train_acc,train_bal_acc,overfit_gap
128,0.6577453365774534,0.47830003333309234,0.8340788938592923,0.6976593414024583,0.1763
256,0.66220600162206,0.4888713614886839,0.8938592923952826,0.8034824316797086,0.2317
512,0.6776155717761557,0.4901514173553495,0.9056527043513624,0.8325043768855019,0.228
