,num_epochs,train_acc,test_acc,train_bal_acc,test_bal_acc,train_f1_macro,test_f1_macro,train_f1_weighted,test_f1_weighted,overfit_gap
0,3,0.12891419276128507,0.12408759124087591,0.08282489203653239,0.0885579266893218,0.06616435259716569,0.06598800640391139,0.10496534855508677,0.1091166046355531,0.0048
1,5,0.3615290768605124,0.36658556366585565,0.14759242824093843,0.1468734323261443,0.13675055456984647,0.13536392898742444,0.2737922119580797,0.27994511676592854,-0.0051
2,10,0.48922326148840994,0.47566909975669097,0.2500383842780855,0.245834332236952,0.24886952370284443,0.2423939250082803,0.42582602075321224,0.4150589308526858,0.0136
3,15,0.5571370475803172,0.5348742903487429,0.3046374765257799,0.28690491579736754,0.2984566212639929,0.2770341235452138,0.48618928508562237,0.46222628758559015,0.0223
4,20,0.555103700691338,0.5300081103000811,0.31125848237983134,0.2898522572998789,0.3250073999171256,0.2928735709881834,0.5042660891544811,0.47339722218446073,0.0251
5,25,0.6213908092720618,0.5802919708029197,0.3735669343831658,0.3453878462194055,0.38944444009821516,0.3529080185230765,0.5783463726065026,0.5359313422428434,0.0411
6,30,0.6331842212281416,0.5969180859691808,0.4281955524444334,0.3665847614984817,0.45828371207127894,0.370869469150775,0.5880576108262523,0.5481517791169537,0.0363
7,40,0.6746644977633184,0.616382806163828,0.48152582583664716,0.4077870908269586,0.5110007268594271,0.42745853918221355,0.637032628166807,0.5747825797013703,0.0583
8,50,0.678324522163481,0.6220600162206001,0.5098642049776194,0.3968559719150037,0.542144598457913,0.4035686549491237,0.636241535825871,0.5690432926427369,0.0563
9,60,0.6925579503863359,0.6313868613138686,0.5155307480328216,0.4362258104463615,0.5409045296058225,0.44220163534925644,0.64903538836633,0.5806716877555271,0.0612
10,70,0.7181781211874746,0.6346309813463098,0.5576507601441196,0.4376885190016147,0.5904397066026412,0.4515557825609023,0.6787611812524873,0.5861765914176521,0.0835
11,80,0.7531516876779178,0.6553122465531225,0.6235186533085745,0.4857044670750028,0.6691828972978595,0.5064256901294139,0.7304906249180844,0.6219147663575532,0.0978
12,90,0.7385115900772672,0.6321978913219789,0.6368172618723629,0.44875090811368523,0.6848809117133887,0.4647923125233297,0.720065252492705,0.601503420534148,0.1063
13,100,0.736071573810492,0.6228710462287105,0.6250321138325287,0.44099229005554497,0.6726275605643289,0.4566037962092307,0.7135790223450844,0.5865133467210198,0.1132
14,150,0.7873119154127695,0.6293592862935928,0.7128084559814912,0.454669358745417,0.7650920448361801,0.46748599757009046,0.7750041357908258,0.5996738880973893,0.158
15,200,0.837738918259455,0.6399026763990268,0.7930051164945882,0.46903761072771755,0.8341686504882055,0.4867633000147259,0.8310798303578695,0.6165178326390206,0.1978
